headline,date,stock,Open,High,Low,Close,Volume,Company,sentiment
Amazon CEO outlines growth strategy at investor conference,2025-10-27,AMZN,748.4781384032651,754.4881061640369,746.7610395763271,749.5663452148438,11321100,Meta,0.0
Amazon CEO outlines growth strategy at investor conference,2025-10-27,AMZN,529.577902779321,532.3662956890146,526.819354031342,529.3189697265625,18734700,Microsoft,0.0
Amazon CEO outlines growth strategy at investor conference,2025-10-27,AMZN,189.9691435897376,191.97891738858848,188.4093020699799,191.46897888183597,153452700,Nvidia,0.0
Amazon CEO outlines growth strategy at investor conference,2025-10-27,AMZN,439.9800109863281,460.1600036621094,438.6900024414063,452.4200134277344,105867500,Tesla,0.0
Google stock rises after positive product launch announcement,2025-10-27,GOOGL,264.37609822840903,268.60802232244004,264.1465248140549,268.2986145019531,44888200,Apple,0.22727272727272727
Google stock rises after positive product launch announcement,2025-10-27,GOOGL,227.66000366210935,228.3999938964844,225.5399932861328,226.97000122070312,38267000,Amazon,0.22727272727272727
Google stock rises after positive product launch announcement,2025-10-27,GOOGL,264.4607188078389,269.7735083332291,263.9214429072172,268.9046630859375,35235200,Google,0.22727272727272727
Google stock rises after positive product launch announcement,2025-10-27,GOOGL,748.4781384032651,754.4881061640369,746.7610395763271,749.5663452148438,11321100,Meta,0.22727272727272727
Google stock rises after positive product launch announcement,2025-10-27,GOOGL,529.577902779321,532.3662956890146,526.819354031342,529.3189697265625,18734700,Microsoft,0.22727272727272727
Google stock rises after positive product launch announcement,2025-10-27,GOOGL,189.9691435897376,191.97891738858848,188.4093020699799,191.46897888183597,153452700,Nvidia,0.22727272727272727
Google stock rises after positive product launch announcement,2025-10-27,GOOGL,439.9800109863281,460.1600036621094,438.6900024414063,452.4200134277344,105867500,Tesla,0.22727272727272727
Institutional investors increase stake in Google,2025-10-27,GOOGL,264.37609822840903,268.60802232244004,264.1465248140549,268.2986145019531,44888200,Apple,0.0
Institutional investors increase stake in Google,2025-10-27,GOOGL,227.66000366210935,228.3999938964844,225.5399932861328,226.97000122070312,38267000,Amazon,0.0
Institutional investors increase stake in Google,2025-10-27,GOOGL,264.4607188078389,269.7735083332291,263.9214429072172,268.9046630859375,35235200,Google,0.0
Institutional investors increase stake in Google,2025-10-27,GOOGL,748.4781384032651,754.4881061640369,746.7610395763271,749.5663452148438,11321100,Meta,0.0
Institutional investors increase stake in Google,2025-10-27,GOOGL,529.577902779321,532.3662956890146,526.819354031342,529.3189697265625,18734700,Microsoft,0.0
Institutional investors increase stake in Google,2025-10-27,GOOGL,189.9691435897376,191.97891738858848,188.4093020699799,191.46897888183597,153452700,Nvidia,0.0
Institutional investors increase stake in Google,2025-10-27,GOOGL,439.9800109863281,460.1600036621094,438.6900024414063,452.4200134277344,105867500,Tesla,0.0
"Google reports strong quarterly earnings, beating analyst expectations",2025-10-27,GOOGL,264.37609822840903,268.60802232244004,264.1465248140549,268.2986145019531,44888200,Apple,0.43333333333333335
"Google reports strong quarterly earnings, beating analyst expectations",2025-10-27,GOOGL,227.66000366210935,228.3999938964844,225.5399932861328,226.97000122070312,38267000,Amazon,0.43333333333333335
"Google reports strong quarterly earnings, beating analyst expectations",2025-10-27,GOOGL,264.4607188078389,269.7735083332291,263.9214429072172,268.9046630859375,35235200,Google,0.43333333333333335
"Google reports strong quarterly earnings, beating analyst expectations",2025-10-27,GOOGL,748.4781384032651,754.4881061640369,746.7610395763271,749.5663452148438,11321100,Meta,0.43333333333333335
"Google reports strong quarterly earnings, beating analyst expectations",2025-10-27,GOOGL,529.577902779321,532.3662956890146,526.819354031342,529.3189697265625,18734700,Microsoft,0.43333333333333335
"Google reports strong quarterly earnings, beating analyst expectations",2025-10-27,GOOGL,189.9691435897376,191.97891738858848,188.4093020699799,191.46897888183597,153452700,Nvidia,0.43333333333333335
"Google reports strong quarterly earnings, beating analyst expectations",2025-10-27,GOOGL,439.9800109863281,460.1600036621094,438.6900024414063,452.4200134277344,105867500,Tesla,0.43333333333333335
Meta beats revenue estimates for the third consecutive quarter,2025-10-27,META,264.37609822840903,268.60802232244004,264.1465248140549,268.2986145019531,44888200,Apple,0.0
Meta beats revenue estimates for the third consecutive quarter,2025-10-27,META,227.66000366210935,228.3999938964844,225.5399932861328,226.97000122070312,38267000,Amazon,0.0
Meta beats revenue estimates for the third consecutive quarter,2025-10-27,META,264.4607188078389,269.7735083332291,263.9214429072172,268.9046630859375,35235200,Google,0.0
Meta beats revenue estimates for the third consecutive quarter,2025-10-27,META,748.4781384032651,754.4881061640369,746.7610395763271,749.5663452148438,11321100,Meta,0.0
Meta beats revenue estimates for the third consecutive quarter,2025-10-27,META,529.577902779321,532.3662956890146,526.819354031342,529.3189697265625,18734700,Microsoft,0.0
Meta beats revenue estimates for the third consecutive quarter,2025-10-27,META,189.9691435897376,191.97891738858848,188.4093020699799,191.46897888183597,153452700,Nvidia,0.0
Meta beats revenue estimates for the third consecutive quarter,2025-10-27,META,439.9800109863281,460.1600036621094,438.6900024414063,452.4200134277344,105867500,Tesla,0.0
Meta partners with major firm to accelerate AI development,2025-10-27,META,264.37609822840903,268.60802232244004,264.1465248140549,268.2986145019531,44888200,Apple,-0.06875
Meta partners with major firm to accelerate AI development,2025-10-27,META,227.66000366210935,228.3999938964844,225.5399932861328,226.97000122070312,38267000,Amazon,-0.06875
Meta partners with major firm to accelerate AI development,2025-10-27,META,264.4607188078389,269.7735083332291,263.9214429072172,268.9046630859375,35235200,Google,-0.06875
Meta partners with major firm to accelerate AI development,2025-10-27,META,748.4781384032651,754.4881061640369,746.7610395763271,749.5663452148438,11321100,Meta,-0.06875
Meta partners with major firm to accelerate AI development,2025-10-27,META,529.577902779321,532.3662956890146,526.819354031342,529.3189697265625,18734700,Microsoft,-0.06875
Meta partners with major firm to accelerate AI development,2025-10-27,META,189.9691435897376,191.97891738858848,188.4093020699799,191.46897888183597,153452700,Nvidia,-0.06875
Meta partners with major firm to accelerate AI development,2025-10-27,META,439.9800109863281,460.1600036621094,438.6900024414063,452.4200134277344,105867500,Tesla,-0.06875
"Meta reports strong quarterly earnings, beating analyst expectations",2025-10-27,META,264.37609822840903,268.60802232244004,264.1465248140549,268.2986145019531,44888200,Apple,0.43333333333333335
"Meta reports strong quarterly earnings, beating analyst expectations",2025-10-27,META,227.66000366210935,228.3999938964844,225.5399932861328,226.97000122070312,38267000,Amazon,0.43333333333333335
"Meta reports strong quarterly earnings, beating analyst expectations",2025-10-27,META,264.4607188078389,269.7735083332291,263.9214429072172,268.9046630859375,35235200,Google,0.43333333333333335
"Meta reports strong quarterly earnings, beating analyst expectations",2025-10-27,META,748.4781384032651,754.4881061640369,746.7610395763271,749.5663452148438,11321100,Meta,0.43333333333333335
"Meta reports strong quarterly earnings, beating analyst expectations",2025-10-27,META,529.577902779321,532.3662956890146,526.819354031342,529.3189697265625,18734700,Microsoft,0.43333333333333335
"Meta reports strong quarterly earnings, beating analyst expectations",2025-10-27,META,189.9691435897376,191.97891738858848,188.4093020699799,191.46897888183597,153452700,Nvidia,0.43333333333333335
"Meta reports strong quarterly earnings, beating analyst expectations",2025-10-27,META,439.9800109863281,460.1600036621094,438.6900024414063,452.4200134277344,105867500,Tesla,0.43333333333333335
Microsoft CEO outlines growth strategy at investor conference,2025-10-27,MSFT,264.37609822840903,268.60802232244004,264.1465248140549,268.2986145019531,44888200,Apple,0.0
Microsoft CEO outlines growth strategy at investor conference,2025-10-27,MSFT,227.66000366210935,228.3999938964844,225.5399932861328,226.97000122070312,38267000,Amazon,0.0
Microsoft CEO outlines growth strategy at investor conference,2025-10-27,MSFT,264.4607188078389,269.7735083332291,263.9214429072172,268.9046630859375,35235200,Google,0.0
Microsoft CEO outlines growth strategy at investor conference,2025-10-27,MSFT,748.4781384032651,754.4881061640369,746.7610395763271,749.5663452148438,11321100,Meta,0.0
Microsoft CEO outlines growth strategy at investor conference,2025-10-27,MSFT,529.577902779321,532.3662956890146,526.819354031342,529.3189697265625,18734700,Microsoft,0.0
Microsoft CEO outlines growth strategy at investor conference,2025-10-27,MSFT,189.9691435897376,191.97891738858848,188.4093020699799,191.46897888183597,153452700,Nvidia,0.0
Microsoft CEO outlines growth strategy at investor conference,2025-10-27,MSFT,439.9800109863281,460.1600036621094,438.6900024414063,452.4200134277344,105867500,Tesla,0.0
Microsoft partners with major firm to accelerate AI development,2025-10-27,MSFT,264.37609822840903,268.60802232244004,264.1465248140549,268.2986145019531,44888200,Apple,-0.06875
Microsoft partners with major firm to accelerate AI development,2025-10-27,MSFT,227.66000366210935,228.3999938964844,225.5399932861328,226.97000122070312,38267000,Amazon,-0.06875
Microsoft partners with major firm to accelerate AI development,2025-10-27,MSFT,264.4607188078389,269.7735083332291,263.9214429072172,268.9046630859375,35235200,Google,-0.06875
Microsoft partners with major firm to accelerate AI development,2025-10-27,MSFT,748.4781384032651,754.4881061640369,746.7610395763271,749.5663452148438,11321100,Meta,-0.06875
Microsoft partners with major firm to accelerate AI development,2025-10-27,MSFT,529.577902779321,532.3662956890146,526.819354031342,529.3189697265625,18734700,Microsoft,-0.06875
Microsoft partners with major firm to accelerate AI development,2025-10-27,MSFT,189.9691435897376,191.97891738858848,188.4093020699799,191.46897888183597,153452700,Nvidia,-0.06875
Microsoft partners with major firm to accelerate AI development,2025-10-27,MSFT,439.9800109863281,460.1600036621094,438.6900024414063,452.4200134277344,105867500,Tesla,-0.06875
Microsoft faces regulatory scrutiny over data privacy concerns,2025-10-27,MSFT,264.37609822840903,268.60802232244004,264.1465248140549,268.2986145019531,44888200,Apple,0.0
Microsoft faces regulatory scrutiny over data privacy concerns,2025-10-27,MSFT,227.66000366210935,228.3999938964844,225.5399932861328,226.97000122070312,38267000,Amazon,0.0
Microsoft faces regulatory scrutiny over data privacy concerns,2025-10-27,MSFT,264.4607188078389,269.7735083332291,263.9214429072172,268.9046630859375,35235200,Google,0.0
Microsoft faces regulatory scrutiny over data privacy concerns,2025-10-27,MSFT,748.4781384032651,754.4881061640369,746.7610395763271,749.5663452148438,11321100,Meta,0.0
Microsoft faces regulatory scrutiny over data privacy concerns,2025-10-27,MSFT,529.577902779321,532.3662956890146,526.819354031342,529.3189697265625,18734700,Microsoft,0.0
Microsoft faces regulatory scrutiny over data privacy concerns,2025-10-27,MSFT,189.9691435897376,191.97891738858848,188.4093020699799,191.46897888183597,153452700,Nvidia,0.0
Microsoft faces regulatory scrutiny over data privacy concerns,2025-10-27,MSFT,439.9800109863281,460.1600036621094,438.6900024414063,452.4200134277344,105867500,Tesla,0.0
Nvidia stock rises after positive product launch announcement,2025-10-27,NVDA,264.37609822840903,268.60802232244004,264.1465248140549,268.2986145019531,44888200,Apple,0.22727272727272727
Nvidia stock rises after positive product launch announcement,2025-10-27,NVDA,227.66000366210935,228.3999938964844,225.5399932861328,226.97000122070312,38267000,Amazon,0.22727272727272727
Nvidia stock rises after positive product launch announcement,2025-10-27,NVDA,264.4607188078389,269.7735083332291,263.9214429072172,268.9046630859375,35235200,Google,0.22727272727272727
Nvidia stock rises after positive product launch announcement,2025-10-27,NVDA,748.4781384032651,754.4881061640369,746.7610395763271,749.5663452148438,11321100,Meta,0.22727272727272727
Nvidia stock rises after positive product launch announcement,2025-10-27,NVDA,529.577902779321,532.3662956890146,526.819354031342,529.3189697265625,18734700,Microsoft,0.22727272727272727
Nvidia stock rises after positive product launch announcement,2025-10-27,NVDA,189.9691435897376,191.97891738858848,188.4093020699799,191.46897888183597,153452700,Nvidia,0.22727272727272727
Nvidia stock rises after positive product launch announcement,2025-10-27,NVDA,439.9800109863281,460.1600036621094,438.6900024414063,452.4200134277344,105867500,Tesla,0.22727272727272727
Nvidia faces regulatory scrutiny over data privacy concerns,2025-10-27,NVDA,264.37609822840903,268.60802232244004,264.1465248140549,268.2986145019531,44888200,Apple,0.0
Nvidia faces regulatory scrutiny over data privacy concerns,2025-10-27,NVDA,227.66000366210935,228.3999938964844,225.5399932861328,226.97000122070312,38267000,Amazon,0.0
Nvidia faces regulatory scrutiny over data privacy concerns,2025-10-27,NVDA,264.4607188078389,269.7735083332291,263.9214429072172,268.9046630859375,35235200,Google,0.0
Nvidia faces regulatory scrutiny over data privacy concerns,2025-10-27,NVDA,748.4781384032651,754.4881061640369,746.7610395763271,749.5663452148438,11321100,Meta,0.0
Nvidia faces regulatory scrutiny over data privacy concerns,2025-10-27,NVDA,529.577902779321,532.3662956890146,526.819354031342,529.3189697265625,18734700,Microsoft,0.0
Nvidia faces regulatory scrutiny over data privacy concerns,2025-10-27,NVDA,189.9691435897376,191.97891738858848,188.4093020699799,191.46897888183597,153452700,Nvidia,0.0
Nvidia faces regulatory scrutiny over data privacy concerns,2025-10-27,NVDA,439.9800109863281,460.1600036621094,438.6900024414063,452.4200134277344,105867500,Tesla,0.0
Nvidia CEO outlines growth strategy at investor conference,2025-10-27,NVDA,264.37609822840903,268.60802232244004,264.1465248140549,268.2986145019531,44888200,Apple,0.0
Nvidia CEO outlines growth strategy at investor conference,2025-10-27,NVDA,227.66000366210935,228.3999938964844,225.5399932861328,226.97000122070312,38267000,Amazon,0.0
Nvidia CEO outlines growth strategy at investor conference,2025-10-27,NVDA,264.4607188078389,269.7735083332291,263.9214429072172,268.9046630859375,35235200,Google,0.0
Nvidia CEO outlines growth strategy at investor conference,2025-10-27,NVDA,748.4781384032651,754.4881061640369,746.7610395763271,749.5663452148438,11321100,Meta,0.0
Nvidia CEO outlines growth strategy at investor conference,2025-10-27,NVDA,529.577902779321,532.3662956890146,526.819354031342,529.3189697265625,18734700,Microsoft,0.0
Nvidia CEO outlines growth strategy at investor conference,2025-10-27,NVDA,189.9691435897376,191.97891738858848,188.4093020699799,191.46897888183597,153452700,Nvidia,0.0
Nvidia CEO outlines growth strategy at investor conference,2025-10-27,NVDA,439.9800109863281,460.1600036621094,438.6900024414063,452.4200134277344,105867500,Tesla,0.0
Tesla faces regulatory scrutiny over data privacy concerns,2025-10-27,TSLA,264.37609822840903,268.60802232244004,264.1465248140549,268.2986145019531,44888200,Apple,0.0
Tesla faces regulatory scrutiny over data privacy concerns,2025-10-27,TSLA,227.66000366210935,228.3999938964844,225.5399932861328,226.97000122070312,38267000,Amazon,0.0
Tesla faces regulatory scrutiny over data privacy concerns,2025-10-27,TSLA,264.4607188078389,269.7735083332291,263.9214429072172,268.9046630859375,35235200,Google,0.0
Tesla faces regulatory scrutiny over data privacy concerns,2025-10-27,TSLA,748.4781384032651,754.4881061640369,746.7610395763271,749.5663452148438,11321100,Meta,0.0
Tesla faces regulatory scrutiny over data privacy concerns,2025-10-27,TSLA,529.577902779321,532.3662956890146,526.819354031342,529.3189697265625,18734700,Microsoft,0.0
Tesla faces regulatory scrutiny over data privacy concerns,2025-10-27,TSLA,189.9691435897376,191.97891738858848,188.4093020699799,191.46897888183597,153452700,Nvidia,0.0
Tesla faces regulatory scrutiny over data privacy concerns,2025-10-27,TSLA,439.9800109863281,460.1600036621094,438.6900024414063,452.4200134277344,105867500,Tesla,0.0
"Apple reports strong quarterly earnings, beating analyst expectations",2025-10-28,AAPL,268.4782600095115,269.3765722048576,267.63986169210665,268.4882507324219,41534800,Apple,0.43333333333333335
"Apple reports strong quarterly earnings, beating analyst expectations",2025-10-28,AAPL,228.22000122070312,231.4900054931641,226.2100067138672,229.25,47100000,Amazon,0.43333333333333335
"Apple reports strong quarterly earnings, beating analyst expectations",2025-10-28,AAPL,269.3241367489819,270.3627344019799,266.1384619149823,267.1071472167969,29738600,Google,0.43333333333333335
"Apple reports strong quarterly earnings, beating analyst expectations",2025-10-28,AAPL,751.3733793283152,757.1337649704751,744.2752651341964,750.1853637695312,12193800,Meta,0.43333333333333335
"Apple reports strong quarterly earnings, beating analyst expectations",2025-10-28,AAPL,547.722348424072,551.4269140414981,538.5305910090683,539.8251953125,29986700,Microsoft,0.43333333333333335
"Apple reports strong quarterly earnings, beating analyst expectations",2025-10-28,AAPL,193.0288146936141,203.12769700573315,191.8889404255143,201.0079345703125,297986200,Nvidia,0.43333333333333335
"Apple reports strong quarterly earnings, beating analyst expectations",2025-10-28,AAPL,454.7799987792969,467.0,451.6000061035156,460.5499877929688,80185700,Tesla,0.43333333333333335
Apple partners with major firm to accelerate AI development,2025-10-28,AAPL,268.4782600095115,269.3765722048576,267.63986169210665,268.4882507324219,41534800,Apple,-0.06875
Apple partners with major firm to accelerate AI development,2025-10-28,AAPL,228.22000122070312,231.4900054931641,226.2100067138672,229.25,47100000,Amazon,-0.06875
Apple partners with major firm to accelerate AI development,2025-10-28,AAPL,269.3241367489819,270.3627344019799,266.1384619149823,267.1071472167969,29738600,Google,-0.06875
Apple partners with major firm to accelerate AI development,2025-10-28,AAPL,751.3733793283152,757.1337649704751,744.2752651341964,750.1853637695312,12193800,Meta,-0.06875
Apple partners with major firm to accelerate AI development,2025-10-28,AAPL,547.722348424072,551.4269140414981,538.5305910090683,539.8251953125,29986700,Microsoft,-0.06875
Apple partners with major firm to accelerate AI development,2025-10-28,AAPL,193.0288146936141,203.12769700573315,191.8889404255143,201.0079345703125,297986200,Nvidia,-0.06875
Apple partners with major firm to accelerate AI development,2025-10-28,AAPL,454.7799987792969,467.0,451.6000061035156,460.5499877929688,80185700,Tesla,-0.06875
Apple launches new product line targeting enterprise customers,2025-10-28,AAPL,268.4782600095115,269.3765722048576,267.63986169210665,268.4882507324219,41534800,Apple,0.13636363636363635
Apple launches new product line targeting enterprise customers,2025-10-28,AAPL,228.22000122070312,231.4900054931641,226.2100067138672,229.25,47100000,Amazon,0.13636363636363635
Apple launches new product line targeting enterprise customers,2025-10-28,AAPL,269.3241367489819,270.3627344019799,266.1384619149823,267.1071472167969,29738600,Google,0.13636363636363635
Apple launches new product line targeting enterprise customers,2025-10-28,AAPL,751.3733793283152,757.1337649704751,744.2752651341964,750.1853637695312,12193800,Meta,0.13636363636363635
Apple launches new product line targeting enterprise customers,2025-10-28,AAPL,547.722348424072,551.4269140414981,538.5305910090683,539.8251953125,29986700,Microsoft,0.13636363636363635
Apple launches new product line targeting enterprise customers,2025-10-28,AAPL,193.0288146936141,203.12769700573315,191.8889404255143,201.0079345703125,297986200,Nvidia,0.13636363636363635
Apple launches new product line targeting enterprise customers,2025-10-28,AAPL,454.7799987792969,467.0,451.6000061035156,460.5499877929688,80185700,Tesla,0.13636363636363635
Amazon stock rises after positive product launch announcement,2025-10-28,AMZN,268.4782600095115,269.3765722048576,267.63986169210665,268.4882507324219,41534800,Apple,0.22727272727272727
Amazon stock rises after positive product launch announcement,2025-10-28,AMZN,228.22000122070312,231.4900054931641,226.2100067138672,229.25,47100000,Amazon,0.22727272727272727
Amazon stock rises after positive product launch announcement,2025-10-28,AMZN,269.3241367489819,270.3627344019799,266.1384619149823,267.1071472167969,29738600,Google,0.22727272727272727
Amazon stock rises after positive product launch announcement,2025-10-28,AMZN,751.3733793283152,757.1337649704751,744.2752651341964,750.1853637695312,12193800,Meta,0.22727272727272727
Amazon stock rises after positive product launch announcement,2025-10-28,AMZN,547.722348424072,551.4269140414981,538.5305910090683,539.8251953125,29986700,Microsoft,0.22727272727272727
Amazon stock rises after positive product launch announcement,2025-10-28,AMZN,193.0288146936141,203.12769700573315,191.8889404255143,201.0079345703125,297986200,Nvidia,0.22727272727272727
Amazon stock rises after positive product launch announcement,2025-10-28,AMZN,454.7799987792969,467.0,451.6000061035156,460.5499877929688,80185700,Tesla,0.22727272727272727
Amazon CEO outlines growth strategy at investor conference,2025-10-28,AMZN,268.4782600095115,269.3765722048576,267.63986169210665,268.4882507324219,41534800,Apple,0.0
Amazon CEO outlines growth strategy at investor conference,2025-10-28,AMZN,228.22000122070312,231.4900054931641,226.2100067138672,229.25,47100000,Amazon,0.0
Amazon CEO outlines growth strategy at investor conference,2025-10-28,AMZN,269.3241367489819,270.3627344019799,266.1384619149823,267.1071472167969,29738600,Google,0.0
Amazon CEO outlines growth strategy at investor conference,2025-10-28,AMZN,751.3733793283152,757.1337649704751,744.2752651341964,750.1853637695312,12193800,Meta,0.0
Amazon CEO outlines growth strategy at investor conference,2025-10-28,AMZN,547.722348424072,551.4269140414981,538.5305910090683,539.8251953125,29986700,Microsoft,0.0
Amazon CEO outlines growth strategy at investor conference,2025-10-28,AMZN,193.0288146936141,203.12769700573315,191.8889404255143,201.0079345703125,297986200,Nvidia,0.0
Amazon CEO outlines growth strategy at investor conference,2025-10-28,AMZN,454.7799987792969,467.0,451.6000061035156,460.5499877929688,80185700,Tesla,0.0
Google stock rises after positive product launch announcement,2025-10-28,GOOGL,268.4782600095115,269.3765722048576,267.63986169210665,268.4882507324219,41534800,Apple,0.22727272727272727
Google stock rises after positive product launch announcement,2025-10-28,GOOGL,228.22000122070312,231.4900054931641,226.2100067138672,229.25,47100000,Amazon,0.22727272727272727
Google stock rises after positive product launch announcement,2025-10-28,GOOGL,269.3241367489819,270.3627344019799,266.1384619149823,267.1071472167969,29738600,Google,0.22727272727272727
Google stock rises after positive product launch announcement,2025-10-28,GOOGL,751.3733793283152,757.1337649704751,744.2752651341964,750.1853637695312,12193800,Meta,0.22727272727272727
Google stock rises after positive product launch announcement,2025-10-28,GOOGL,547.722348424072,551.4269140414981,538.5305910090683,539.8251953125,29986700,Microsoft,0.22727272727272727
Google stock rises after positive product launch announcement,2025-10-28,GOOGL,193.0288146936141,203.12769700573315,191.8889404255143,201.0079345703125,297986200,Nvidia,0.22727272727272727
Google stock rises after positive product launch announcement,2025-10-28,GOOGL,454.7799987792969,467.0,451.6000061035156,460.5499877929688,80185700,Tesla,0.22727272727272727
Meta revenue falls short of forecasts amid market slowdown,2025-10-28,META,268.4782600095115,269.3765722048576,267.63986169210665,268.4882507324219,41534800,Apple,0.0
Meta revenue falls short of forecasts amid market slowdown,2025-10-28,META,228.22000122070312,231.4900054931641,226.2100067138672,229.25,47100000,Amazon,0.0
Meta revenue falls short of forecasts amid market slowdown,2025-10-28,META,269.3241367489819,270.3627344019799,266.1384619149823,267.1071472167969,29738600,Google,0.0
Meta revenue falls short of forecasts amid market slowdown,2025-10-28,META,751.3733793283152,757.1337649704751,744.2752651341964,750.1853637695312,12193800,Meta,0.0
Meta revenue falls short of forecasts amid market slowdown,2025-10-28,META,547.722348424072,551.4269140414981,538.5305910090683,539.8251953125,29986700,Microsoft,0.0
Meta revenue falls short of forecasts amid market slowdown,2025-10-28,META,193.0288146936141,203.12769700573315,191.8889404255143,201.0079345703125,297986200,Nvidia,0.0
Meta revenue falls short of forecasts amid market slowdown,2025-10-28,META,454.7799987792969,467.0,451.6000061035156,460.5499877929688,80185700,Tesla,0.0
Microsoft partners with major firm to accelerate AI development,2025-10-28,MSFT,268.4782600095115,269.3765722048576,267.63986169210665,268.4882507324219,41534800,Apple,-0.06875
Microsoft partners with major firm to accelerate AI development,2025-10-28,MSFT,228.22000122070312,231.4900054931641,226.2100067138672,229.25,47100000,Amazon,-0.06875
Microsoft partners with major firm to accelerate AI development,2025-10-28,MSFT,269.3241367489819,270.3627344019799,266.1384619149823,267.1071472167969,29738600,Google,-0.06875
